정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,3450000
,교직원보수,0
,기타 교직원 보수,450000
,교직원 복지 및 역량강화,3000000
학생복지/교육격차 해소,학생복지/교육격차 해소,29561000
,급식 관리,12825000
,기숙사 관리,0
,보건관리,11904000
,교육격차 해소,0
,학생복지,4832000
기본적 교육활동,기본적 교육활동,36772000
,교과 활동,23072000
,창의적 체험활동,13700000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,14648000
,방과후학교 운영,8848000
,직업교육,0
,국제교육,0
,독서활동,5800000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,16487000
,교무업무 운영,11089000
,생활지도 운영,48000
,연구학교 운영,0
,학습지원실 운영,5350000
,교육여건 개선,0
학교 일반운영,학교 일반운영,82244000
,학교기관운영,36285000
,시설 장비 유지,42759000
,학교운영 협력,3200000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,100000
,반환금,0
,예비비,100000
세출합계,세출합계,183262000
