정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,80102600.0
,교직원보수,0.0
,기타 교직원 보수,62047090.0
,교직원 복지 및 역량강화,18055510.0
학생복지/교육격차 해소,학생복지/교육격차 해소,3073193450.0
,급식 관리,2579109910.0
,기숙사 관리,0.0
,보건관리,277611900.0
,교육격차 해소,1190000.0
,학생복지,215281640.0
기본적 교육활동,기본적 교육활동,1407335980.0
,교과 활동,1001018490.0
,창의적 체험활동,374840310.0
,자유학기(년) 활동,31477180.0
선택적 교육활동,선택적 교육활동,1488721550.0
,방과후학교 운영,985172070.0
,직업교육,0.0
,국제교육,0.0
,독서활동,142369440.0
,교기육성,250280910.0
,기타 선택적 교육활동,110899130.0
교육활동 지원,교육활동 지원,646580340.0
,교무업무 운영,208212170.0
,생활지도 운영,87789990.0
,연구학교 운영,20000000.0
,학습지원실 운영,142263110.0
,교육여건 개선,188315070.0
학교 일반운영,학교 일반운영,1037186572.0
,학교기관운영,377364110.0
,시설 장비 유지,645553120.0
,학교운영 협력,14269342.0
학교시설 확충,학교시설 확충,6000000.0
,시설확충 및 개선,6000000.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,7739120492.0
