정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,23245000.0
,교직원보수,0.0
,기타 교직원 보수,12960000.0
,교직원 복지 및 역량강화,10285000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,325757000.0
,급식 관리,279876000.0
,기숙사 관리,0.0
,보건관리,24933000.0
,교육격차 해소,0.0
,학생복지,20948000.0
기본적 교육활동,기본적 교육활동,148608000.0
,교과 활동,125837000.0
,창의적 체험활동,22771000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,83041000.0
,방과후학교 운영,60690000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,20271000.0
,교기육성,2000000.0
,기타 선택적 교육활동,80000.0
교육활동 지원,교육활동 지원,77694000.0
,교무업무 운영,51906000.0
,생활지도 운영,14300000.0
,연구학교 운영,0.0
,학습지원실 운영,11488000.0
,교육여건 개선,0.0
학교 일반운영,학교 일반운영,205740000.0
,학교기관운영,124749000.0
,시설 장비 유지,79217000.0
,학교운영 협력,1774000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,800000.0
,반환금,800000.0
,예비비,0.0
세출합계,세출합계,864885000.0
