SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,04,서울특별시 강동구,4,서울특별시교육청,서울특별시교육청,B100000001,62863110,N,1170423160,미지정,결산세출,483935695,219567566,89013270,284077451,1143451291,S010000371,4102490540,11243782.9,B100000001,01,일반고등학교,N,강동고등학교
고,사립,04,서울특별시 양천구,4,서울특별시교육청,서울특별시교육청,B100000001,48767700,N,191174720,복식부기,결산세출,540736962,362811620,41455700,608230638,1920961298,S010000372,5974111640,9554487.5,B100000001,01,일반고등학교,N,강서고등학교
,사립,04,서울특별시 광진구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,904604580,미지정,결산세출,668518976,429784546,182182300,284825670,1508742264,S010000374,6817111990,10949057.1,B100000001,01,일반고등학교,N,건국대학교사범대학부속고등학교
고,사립,04,서울특별시 동작구,4,서울특별시교육청,서울특별시교육청,B100000001,303270330,N,6901233615,복식부기,결산세출,627765405,366455711,60509920,445931530,1066498892,S010000378,4415736018,21860402.8,B100000001,01,일반고등학교,N,경문고등학교
,사립,04,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,866330,N,1610029384,복식부기,결산세출,472717908,322881012,80768730,379040859,1976676030,S010000380,4920769280,16165148.2,B100000001,01,일반고등학교,N,경복여자고등학교
고,사립,04,서울특별시 마포구,4,서울특별시교육청,서울특별시교육청,B100000001,8501450,N,765260080,미지정,결산세출,421310311,361781850,481756570,478316469,1543568683,S010000381,4145490657,12841918.7,B100000001,01,일반고등학교,N,경성고등학교
,사립,04,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,154621490,복식부기,결산세출,587134468,172556380,1054956627,239739180,1285757377,S010000382,4679791580,17655630.9,B100000001,01,일반고등학교,N,경신고등학교
고,사립,04,서울특별시 동대문구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,411108332,복식부기,결산세출,382793106,273732460,1166358059,401798310,2440877010,S010000384,4558538135,13271632.8,B100000001,01,자율고등학교,N,경희고등학교
,사립,04,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,74168870,N,3394195535,미지정,결산세출,507043967,520465938,244539882,342277481,863037108,S010000385,4125544940,27293424.7,B100000001,01,일반고등학교,N,경희여자고등학교
고,사립,04,서울특별시 성북구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,219145900,복식부기,결산세출,1334439652,603481518,74543380,423413840,1348904244,S010000386,5531536160,11460895.1,B100000001,01,일반고등학교,N,계성고등학교
,사립,04,서울특별시 성북구,,서울특별시교육청,서울특별시교육청,B100000001,39242040,N,270948449,미지정,결산세출,441533719,209503236,164784348,459887535,1183669606,S010000387,5357845520,11710971.8,B100000001,01,일반고등학교,N,고려대학교사범대학부속고등학교
고,사립,04,서울특별시 강동구,4,서울특별시교육청,서울특별시교육청,B100000001,31130310,N,66747510,미지정,결산세출,580102123,1027230806,115703380,464766041,1724296704,S010000392,6804620960,9795831.4,B100000001,01,일반고등학교,N,광문고등학교
,사립,04,서울특별시 마포구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,220598930,복식부기,결산세출,356866732,412724270,394660764,677890817,1714309921,S010000393,4876630120,11725855.8,B100000001,01,일반고등학교,N,광성고등학교
,사립,04,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,94944660,N,1985311500,복식부기,결산세출,443211587,320164135,133310860,190319366,924837467,S010000394,4412223730,16513249.1,B100000001,01,일반고등학교,N,광신고등학교
고,사립,04,서울특별시 양천구,4,서울특별시교육청,서울특별시교육청,B100000001,0,N,64760000,미지정,결산세출,822958798,4532182150,37278310,471001963,1364192380,S010000396,6011392420,15856693.7,B100000001,01,일반고등학교,N,광영고등학교
