정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,36900000
,교직원보수,0
,기타 교직원 보수,33400000
,교직원 복지 및 역량강화,3500000
학생복지/교육격차 해소,학생복지/교육격차 해소,85366000
,급식 관리,16212000
,기숙사 관리,0
,보건관리,50547000
,교육격차 해소,18607000
,학생복지,0
기본적 교육활동,기본적 교육활동,47603000
,교과 활동,38313000
,창의적 체험활동,9290000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,13693000
,방과후학교 운영,200000
,직업교육,0
,국제교육,0
,독서활동,13493000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,39076000
,교무업무 운영,17634000
,생활지도 운영,3180000
,연구학교 운영,0
,학습지원실 운영,18262000
,교육여건 개선,0
학교 일반운영,학교 일반운영,286591000
,학교기관운영,42239000
,시설 장비 유지,243752000
,학교운영 협력,600000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,509229000
