SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,공립,3,부산광역시 남구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,8202654,15389604,0,37017650,0,S020000599,1351774490,C100000001,2,N,감만중학교,
,공립,3,부산광역시 동구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,3199807,5601839,0,44072130,11000000,S020000600,1570225060,C100000001,2,N,경남여자중학교,
,공립,3,부산광역시 남구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,80178826,12936098,0,50662320,6860000,S020000604,2311119130,C100000001,2,N,남천중학교,
중,공립,3,부산광역시 남구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,23287248,7586682,0,50071720,10237500,S020000606,2015539800,C100000001,2,N,대연중학교,
중,공립,3,부산광역시 남구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,3330850,10147770,0,418722920,360000,S020000607,2319236560,C100000001,2,N,대천중학교,
,공립,3,부산광역시 남구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,3314540,2827560,0,35184450,0,S020000610,1339071040,C100000001,2,N,동항중학교,
중,공립,3,부산광역시 남구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,6333748,2216582,0,37374790,480000,S020000611,1429181100,C100000001,2,N,문현여자중학교,
중,공립,3,부산광역시 동구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,28299268,5140238,0,37740820,7500000,S020000614,1560633830,C100000001,2,N,부산서중학교,
,공립,3,부산광역시 동구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,5113115,5561435,0,255373940,1470000,S020000615,1591677400,C100000001,2,N,부산중학교,
중,공립,3,부산광역시 남구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,6457277,4690866,0,55144580,0,S020000616,2333203930,C100000001,2,N,분포중학교,
,공립,3,부산광역시 남구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,254476,6070583,0,36025120,11500000,S020000617,1310196940,C100000001,2,N,석포여자중학교,
중,공립,3,부산광역시 남구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,1920820,12582064,0,42754760,0,S020000619,1510434180,C100000001,2,N,성동중학교,
중,공립,3,부산광역시 남구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,2342439,8183744,0,47945710,0,S020000621,2157173420,C100000001,2,N,용문중학교,
중,공립,3,부산광역시 남구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,13552950,4089680,0,47597000,0,S020000623,1660751520,C100000001,2,N,용호중학교,
중,공립,3,부산광역시 금정구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,71032009,17700922,0,40879570,1340000,S020000765,1772388610,C100000001,2,N,구서여자중학교,
,공립,3,부산광역시 금정구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,6754170,17202930,0,30615600,0,S020000767,1052919130,C100000001,2,N,금사중학교,
중,공립,3,부산광역시 금정구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,22701721,9894241,0,44300040,3160000,S020000770,1743533010,C100000001,2,N,남산중학교,
중,공립,3,부산광역시 동래구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,6094920,35088340,0,48331760,700000,S020000771,1514696670,C100000001,2,N,부산내성중학교,
,공립,3,부산광역시 동래구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,1510690,21036170,0,398064610,14700000,S020000773,1939509800,C100000001,2,N,동래중학교,
중,공립,3,부산광역시 동래구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,31513460,3719090,0,34536730,1000000,S020000774,1172948390,C100000001,2,N,동신중학교,
,공립,3,부산광역시 금정구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,미지정,결산세입,2453335,5496296,0,41851980,1500000,S020000776,1516905590,C100000001,2,N,동현중학교,
,공립,3,부산광역시 금정구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,6154540,8112620,0,50532210,6200000,S020000777,1982820360,C100000001,2,N,부곡여자중학교,
중,공립,3,부산광역시 금정구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,미지정,결산세입,8401224,8868319,0,53573130,600000,S020000778,1809551230,C100000001,2,N,부곡중학교,
중,공립,3,부산광역시 동래구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,9156190,14984557,0,52460050,0,S020000783,2132836930,C100000001,2,N,사직여자중학교,
,공립,3,부산광역시 동래구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,3956,10242441,0,302106120,8377000,S020000784,2690124000,C100000001,2,N,사직중학교,
중,공립,3,부산광역시 동래구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,2463413,3898464,0,54429360,6129000,S020000786,1831925290,C100000001,2,N,안락중학교,
,공립,3,부산광역시 동래구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,11151990,84441450,0,73265310,1500000,S020000789,2480957250,C100000001,2,N,여명중학교,
,공립,3,부산광역시 동래구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,5183613,6831387,0,41957240,0,S020000793,1783774820,C100000001,2,N,온천중학교,
,공립,3,부산광역시 동래구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,2427240,35384105,0,51966500,300000,S020000794,2128370580,C100000001,2,N,유락여자중학교,
중,공립,3,부산광역시 금정구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,19107449,8468891,0,50209530,2000000,S020000795,1838921540,C100000001,2,N,장전중학교,
중,공립,3,부산광역시 동래구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,미지정,결산세입,75921680,25782910,0,57720010,0,S020000796,2044342360,C100000001,2,N,남일중학교,
중,공립,3,부산광역시 동래구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,15545190,2194280,0,39080710,560000,S020000797,1103482460,C100000001,2,N,충렬중학교,
중,공립,3,부산광역시 금정구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,11633347,8320672,0,59682320,15280000,S020000849,1813989190,C100000001,2,N,금양중학교,
중,공립,3,부산광역시 부산진구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,329090,7918510,0,46190480,24864400,S020000955,1654290870,C100000001,2,N,가야여자중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,5565115,5609862,0,42302880,5971000,S020000956,1544251950,C100000001,2,N,개금여자중학교,
중,공립,3,부산광역시 부산진구,3.0,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,23303280,11827587,0,58024110,0,S020000957,2203086070,C100000001,2,N,개림중학교,
중,공립,3,부산광역시 연제구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,73580360,20759547,0,61083540,19538000,S020000959,2299244450,C100000001,2,N,거제여자중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,6375794,8385975,0,40464860,0,S020000960,1724617420,C100000001,2,N,광무여자중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,9467304,7348955,0,40529970,10901420,S020000964,1575975950,C100000001,2,N,동평여자중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,3060770,12367402,0,42025830,0,S020000965,1791786190,C100000001,2,N,동평중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,8939378,4215292,0,35176020,4300000,S020000966,1391755670,C100000001,2,N,모동중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,미지정,결산세입,20861632,6788908,0,335125140,0,S020000967,2075477260,C100000001,2,N,부산개성중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,Y,미지정,,0,0,0,0,0,S020000969,0,C100000001,2,N,부산국제중학교,고등학교에서 같이 처리함.
,공립,3,부산광역시 기장군,,부산광역시해운대교육지원청,부산광역시교육청,C100000312,N,미지정,결산세입,1859249,4082201,0,55742870,3500000,S020000972,2419136710,C100000001,2,N,부산중앙중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,14919357,2406553,0,41054570,2600000,S020000973,1490518600,C100000001,2,N,부산진여자중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,2322170,15939723,0,41913030,0,S020000974,1373180420,C100000001,2,N,부산진중학교,
중,공립,3,부산광역시 연제구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,13580830,5922072,0,47646230,300000,S020000978,1775505000,C100000001,2,N,연산중학교,
중,공립,3,부산광역시 연제구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,미지정,결산세입,6909809,6316471,0,50957730,14600000,S020000979,1945216350,C100000001,2,N,연일중학교,
,공립,3,부산광역시 연제구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,미지정,결산세입,386260,26367890,0,38117700,0,S020000980,1780443210,C100000001,2,N,연제중학교,
,공립,3,부산광역시 연제구,,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,4201196,5275094,0,41148970,0,S020000981,1600854840,C100000001,2,N,연천중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,1769919,6551876,0,52946020,0,S020000984,1700489550,C100000001,2,N,초연중학교,
,공립,3,부산광역시 부산진구,,부산광역시남부교육지원청,부산광역시교육청,C100000175,N,복식부기,결산세입,9361207,11388973,0,57807820,26425960,S020000986,1967379990,C100000001,2,N,초읍중학교,
중,공립,3,부산광역시 연제구,3.0,부산광역시동래교육지원청,부산광역시교육청,C100000202,N,복식부기,결산세입,9379855,7893248,0,40198960,7320000,S020000987,1559516330,C100000001,2,N,토현중학교,
중,공립,3,부산광역시 북구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,1982520,5403245,0,38895650,11000000,S020001203,1497380870,C100000001,2,N,가람중학교,
,공립,3,부산광역시 북구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,13906814,3494732,0,37139710,840000,S020001205,1457572390,C100000001,2,N,구남중학교,
,공립,3,부산광역시 북구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,미지정,결산세입,856600,5692341,0,36860270,9980000,S020001207,2077633840,C100000001,2,N,구포중학교,
중,공립,3,부산광역시 북구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,11293618,6831826,0,33329750,0,S020001208,1311765960,C100000001,2,N,금곡중학교,
,공립,3,부산광역시 강서구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,15098790,16242758,0,33681180,0,S020001210,1088187070,C100000001,2,N,낙동중학교,
중,공립,3,부산광역시 북구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,10632940,6384080,0,36116550,500000,S020001213,1391293570,C100000001,2,N,대천리중학교,
,공립,3,부산광역시 강서구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,Y,복식부기,,0,0,0,0,0,S020001214,0,C100000001,2,N,덕문중학교,덕문고등학교와 예·결산 통합운영으로 분리 입력이 불가능함.
중,공립,3,부산광역시 북구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,미지정,결산세입,6144570,16999187,0,225298840,54677473,S020001216,2797085830,C100000001,2,N,덕천중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,35080208,4039012,0,32266400,12180000,S020001217,1325842270,C100000001,2,N,덕포여자중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,12017880,4794770,0,42958630,9020000,S020001218,1546289690,C100000001,2,N,동주중학교,
,공립,3,부산광역시 북구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,17091845,3783577,0,39734780,14560000,S020001219,1904110790,C100000001,2,N,만덕중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,미지정,결산세입,3854566,9610761,0,58549260,1200000,S020001221,2026384936,C100000001,2,N,모라중학교,
,공립,3,부산광역시 북구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,19976640,11506870,0,57495610,8500000,S020001222,1690721780,C100000001,2,N,백양중학교,
,공립,3,부산광역시 북구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,4913327,4413223,0,23478030,15665000,S020001225,977376710,C100000001,2,N,양덕여자중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,3950890,6733080,0,47229610,16040000,S020001226,2040114010,C100000001,2,N,엄궁중학교,
중,공립,3,부산광역시 북구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,105533,11390608,0,68349640,0,S020001227,2427956740,C100000001,2,N,용수중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,15078640,29099820,0,33614450,0,S020001229,1478907350,C100000001,2,N,주감중학교,
중,공립,3,부산광역시 사상구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,미지정,결산세입,63080,6755600,0,33675200,600000,S020001230,1544316000,C100000001,2,N,주례여자중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,16591399,3201725,0,30353990,1500000,S020001231,1156380230,C100000001,2,N,주례중학교,
,공립,3,부산광역시 사상구,,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,35215330,7999620,0,50441900,0,S020001232,1715162170,C100000001,2,N,학장중학교,
중,공립,3,부산광역시 북구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,3753810,30664781,0,91812030,0,S020001233,2558515110,C100000001,2,N,화명중학교,
중,공립,3,부산광역시 북구,3.0,부산광역시북부교육지원청,부산광역시교육청,C100000258,N,복식부기,결산세입,20429314,16828509,0,42135670,2880000,S020001234,1840546490,C100000001,2,N,화신중학교,
중,공립,3,부산광역시 사하구,3.0,부산광역시서부교육지원청,부산광역시교육청,C100000284,N,미지정,결산세입,1120984,3961674,0,44493280,600000,S020001399,1642917420,C100000001,2,N,감천중학교,
중,공립,3,부산광역시 서구,3.0,부산광역시서부교육지원청,부산광역시교육청,C100000284,N,복식부기,결산세입,3164289,4411026,0,440049100,6864000,S020001401,2135051800,C100000001,2,N,경남중학교,
중,공립,3,부산광역시 사하구,3.0,부산광역시서부교육지원청,부산광역시교육청,C100000284,N,복식부기,결산세입,248208,20030469,0,50769810,4550000,S020001405,2057495570,C100000001,2,N,다대중학교,
,공립,3,부산광역시 사하구,,부산광역시서부교육지원청,부산광역시교육청,C100000284,N,복식부기,결산세입,25362303,13174947,0,64223740,1000000,S020001406,1983788330,C100000001,2,N,다선중학교,
,공립,3,부산광역시 사하구,,부산광역시서부교육지원청,부산광역시교육청,C100000284,N,복식부기,결산세입,20416075,5733789,0,36246530,720000,S020001407,1566777113,C100000001,2,N,다송중학교,
,공립,3,부산광역시 영도구,,부산광역시서부교육지원청,부산광역시교육청,C100000284,N,미지정,결산세입,571265,13246905,0,28159470,167340330,S020001416,1220272100,C100000001,2,N,부산남중학교,
