FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,경상북도 구미시,경상북도교육청,경상북도교육청,A000000001,N,미지정,결산세입,2403200791,107905549,0,802963860,785237090,S000003539,8078000000,A000000001,16,특수목적고등학교,N,구미전자공업고등학교,,고,4.0
공립,4,경상북도 문경시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,18515664,966250,0,48187260,5225500,S150000712,761597510,R100000001,16,일반고등학교,N,가은고등학교,,고,4.0
공립,4,경상북도 예천군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,43480080,51123090,0,387923120,204760000,S150000714,3951891590,R100000001,16,일반고등학교,N,경북일고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,54995330,209286720,0,191343520,170261000,S150000715,2541976670,R100000001,16,특수목적고등학교,N,한국국제통상마이스터고등학교,,고,4.0
공립,4,경상북도 영덕군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,9391180,4927690,0,17872820,0,S150000716,716612040,R100000001,16,특성화고등학교,N,강구정보고등학교,,고,4.0
공립,4,경상북도 포항시 남구,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,3869078650,44729230,0,863445630,76300000,S150000719,3871063570,R100000001,16,특수목적고등학교,N,경북과학고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,56669320,26027864,0,544958130,48690580,S150000720,3432648880,R100000001,16,특성화고등학교,N,경북생활과학고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,41316170,34293360,0,1204949100,500000,S150000721,2712544680,R100000001,16,특수목적고등학교,N,경북외국어고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,246545209,132235719,0,71130160,13631000,S150000723,6854323410,R100000001,16,특수목적고등학교,N,경북체육고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,125208830,54436480,0,704936220,42600000,S150000724,3558426970,R100000001,16,자율고등학교,N,경산고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,548273848,69308436,0,174174760,70396210,S150000729,4129629700,R100000001,16,특성화고등학교,N,경북기계금속고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,3379962255,134392263,0,296972220,13820000,S150000735,3753055030,R100000001,16,특성화고등학교,N,경주공업고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,31001799,6987896,0,183650790,3570000,S150000736,1798361080,R100000001,16,특성화고등학교,N,경주디자인고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,131401940,30498501,0,685358880,1912000,S150000738,2967175650,R100000001,16,일반고등학교,N,경주여자고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,148228819,33747613,0,396624230,500000,S150000746,3476666950,R100000001,16,일반고등학교,N,계림고등학교,,고,4.0
공립,4,경상북도 고령군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,25356730,18425660,0,39098220,2930000,S150000748,1626840090,R100000001,16,특성화고등학교,N,한국조리명장고등학교,,고,4.0
공립,4,경상북도 포항시 남구,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,41405950,8940760,0,12110000,100000,S150000752,1458681010,R100000001,16,특성화고등학교,N,포항과학기술고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,103642470,81597160,0,869240560,820000,S150000753,4043349920,R100000001,16,일반고등학교,N,구미고등학교,,,
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,65150783,29739139,0,785544710,0,S150000756,3190271310,R100000001,16,일반고등학교,N,구미여자고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,29031958,67981370,0,42323180,0,S150000758,4169042290,R100000001,16,특성화고등학교,N,구미정보고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,56137810,52676490,0,51173553,720000,S150000759,3409949470,R100000001,16,특성화고등학교,N,구미여자상업고등학교,,고,4.0
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,7959250,8799460,0,14031380,300000,S150000765,502764490,R100000001,16,일반고등학교,N,금성고등학교,,,
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,134574300,31220570,0,301285220,1660000,S150000768,2956930860,R100000001,16,일반고등학교,N,금오고등학교,,,
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,538718817,110140018,0,889162590,156687800,S150000769,7451458590,R100000001,16,특수목적고등학교,N,금오공업고등학교,,고,4.0
공립,4,경상북도 청도군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,23865122,9528687,0,39734860,47311000,S150000771,667571490,R100000001,16,일반고등학교,N,금천고등학교,,고,4.0
공립,4,경상북도 영천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,28038260,9417450,0,23803800,31569300,S150000774,1212048120,R100000001,16,일반고등학교,N,포은고등학교,,고,4.0
공립,4,경상북도 포항시 북구,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,26111543,5045767,0,74630960,31385000,S150000775,1262329530,R100000001,16,특성화고등학교,N,경북세무고등학교,,,
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,255377450,83569918,0,170127570,26200000,S150000778,3333227840,R100000001,16,특성화고등학교,N,김천생명과학고등학교,,고,4.0
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,468462930,43587520,0,330314380,7100000,S150000781,3130785160,R100000001,16,일반고등학교,N,김천여자고등학교,,고,4.0
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,51127723,40954090,0,332899890,14700000,S150000783,3703747580,R100000001,16,일반고등학교,N,김천중앙고등학교,,고,4.0
공립,4,경상북도 칠곡군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,12390624,26242692,0,80710100,205000,S150000802,828898060,R100000001,16,일반고등학교,N,동명고등학교,,고,4.0
공립,4,경상북도 문경시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,85759910,54883600,0,238738150,8120000,S150000815,3274277400,R100000001,16,특성화고등학교,N,문경공업고등학교,,,
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,32909030,9432570,0,158488870,452538960,S150000822,2405437760,R100000001,16,특성화고등학교,N,경북소프트웨어마이스터고등학교,,고,4.0
공립,4,경상북도 봉화군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,40221280,20932780,0,272386400,254990040,S150000823,3177785420,R100000001,16,자율고등학교,N,봉화고등학교,,고,4.0
공립,4,경상북도 상주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,38628852,19671430,0,242217300,15148000,S150000840,2724178030,R100000001,16,특성화고등학교,N,상산전자고등학교,,고,4.0
공립,4,경상북도 상주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,43002700,17509960,0,521401940,5300000,S150000843,2296995810,R100000001,16,자율고등학교,N,상주여자고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,17559680,30904080,0,99275360,7692000,S150000850,2497577100,R100000001,16,일반고등학교,N,선산고등학교,,고,4.0
공립,4,경상북도 성주군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,53694646,22883150,0,232206530,100000,S150000864,2103907970,R100000001,16,일반고등학교,N,성주고등학교,,고,4.0
공립,4,경상북도 영양군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,14602083,2247910,0,15159460,106985000,S150000870,410450360,R100000001,16,일반고등학교,N,수비고등학교,,,
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,72853400,16631500,0,99226650,0,S150000882,3033081140,R100000001,16,특성화고등학교,N,경북과학기술고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,26103367,16065176,0,83051590,0,S150000886,1736388930,R100000001,16,특성화고등학교,N,안강전자고등학교,,고,4.0
공립,4,경상북도 안동시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,83040781,23078100,0,660116350,62869050,S150000891,2497176080,R100000001,16,자율고등학교,N,안동고등학교,,,
공립,4,경상북도 안동시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,747901676,223125969,0,203780000,30540000,S150000895,4179848030,R100000001,16,특성화고등학교,N,한국생명과학고등학교,,고,4.0
공립,4,경상북도 안동시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,44189028,24128170,0,574033452,38798690,S150000896,2178687000,R100000001,16,일반고등학교,N,안동여자고등학교,,,
공립,4,경상북도 칠곡군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,23929790,12143390,0,265731350,1925000,S150000898,1847242010,R100000001,16,일반고등학교,N,약목고등학교,,고,4.0
공립,4,경상북도 영덕군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,25875120,28131970,0,343478480,172933000,S150000905,1627781410,R100000001,16,일반고등학교,N,영덕고등학교,,고,4.0
공립,4,경상북도 영양군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,10079420,21194907,0,125362950,213974000,S150000908,2162480520,R100000001,16,일반고등학교,N,영양고등학교,,고,4.0
공립,4,경상북도 영주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,37803938,14026740,0,514644170,1400000,S150000916,2231344490,R100000001,16,일반고등학교,N,영주여자고등학교,,고,4.0
공립,4,경상북도 영주시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,77610850,42636430,0,535118750,23670000,S150000917,2979371120,R100000001,16,자율고등학교,N,영주제일고등학교,,고,4.0
공립,4,경상북도 영천시,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,19493316,12309847,0,269276880,2300000,S150000919,1857519500,R100000001,16,일반고등학교,N,영천고등학교,,,
공립,4,경상북도 영천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,44392490,30933970,0,261164650,0,S150000921,2095292740,R100000001,16,일반고등학교,N,영천여자고등학교,,고,4.0
공립,4,경상북도 영덕군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,168439620,12614300,0,257572040,189881190,S150000924,1404027050,R100000001,16,일반고등학교,N,영해고등학교,,고,4.0
공립,4,경상북도 예천군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,36612667,16335410,0,382653540,312959300,S150000929,2173474310,R100000001,16,일반고등학교,N,예천여자고등학교,,고,4.0
공립,4,경상북도 울릉군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,539780150,15094680,0,38273400,7390000,S150000937,1124950680,R100000001,16,특성화고등학교,N,울릉고등학교,,,
공립,4,경상북도 울진군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,68328484,19626720,0,372495180,137131680,S150000938,2448823440,R100000001,16,자율고등학교,N,울진고등학교,,고,4.0
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,35563820,16984200,0,85961640,178065000,S150000945,2089515400,R100000001,16,특성화고등학교,N,의성유니텍고등학교,,고,4.0
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,20561352,8129538,0,157078920,100000,S150000946,1356285490,R100000001,16,일반고등학교,N,의성여자고등학교,,고,4.0
공립,4,경상북도 문경시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,47982021,31855590,0,556847780,500000,S150000954,3311055940,R100000001,16,자율고등학교,N,점촌고등학교,,고,4.0
공립,4,경상북도 울진군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,129380320,7650140,0,147619300,217870331,S150000955,1471304200,R100000001,16,일반고등학교,N,죽변고등학교,,고,4.0
공립,4,경상북도 상주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,320557450,13151820,0,38478380,42702060,S150000957,2404358190,R100000001,16,특성화고등학교,N,한국미래농업고등학교,,고,4.0
공립,4,경상북도 청송군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,7477730,16139480,0,56045490,72733000,S150000962,1056798620,R100000001,16,일반고등학교,N,진보고등학교,,고,4.0
공립,4,경상북도 청도군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,165329400,14002521,0,238519290,16610000,S150000965,1826849310,R100000001,16,특성화고등학교,N,경북드론고등학교,,고,4.0
공립,4,경상북도 청송군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,14304773,8011270,0,69721000,88645190,S150000967,778387800,R100000001,16,일반고등학교,N,청송고등학교,,,
공립,4,경상북도 봉화군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,292748355,4695741,0,186342010,55309900,S150000972,2007682282,R100000001,16,특성화고등학교,N,한국산림과학고등학교,,고,4.0
공립,4,경상북도 칠곡군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,10987390,16733390,0,184348820,36294000,S150000974,2885259500,R100000001,16,특성화고등학교,N,경북기계명장고등학교,,고,4.0
공립,4,경상북도 울진군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,227161787,29994060,0,493612700,53612435,S150000978,3261899990,R100000001,16,특수목적고등학교,N,한국원자력마이스터고등학교,,고,4.0
공립,4,경상북도 울진군,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,18485821,5577590,0,30715220,22207884,S150000980,1061162540,R100000001,16,특성화고등학교,N,경북관광비즈니스고등학교,,고,4.0
공립,4,경상북도 포항시 북구,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,35609580,40596340,0,481561575,7722000,S150000982,3507270770,R100000001,16,일반고등학교,N,포항고등학교,,고,4.0
