SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,공립,3,전라남도 강진군,,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,3000000,520000,0,14697000,0,S140000340,251160000,Q100000001,15,N,강진대구중학교,
,공립,3,전라남도 강진군,,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,5000000,4450000,0,36310000,0,S140000341,474285000,Q100000001,15,N,강진여자중학교,
중,공립,3,전라남도 강진군,3.0,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,3060000,1181000,0,10466000,0,S140000342,221026000,Q100000001,15,N,강진작천중학교,
,공립,3,전라남도 강진군,,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,8000000,3700000,0,46574000,0,S140000343,497792000,Q100000001,15,N,강진중학교,
,공립,3,전라남도 강진군,,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,0,390000,0,12651000,0,S140000344,243787000,Q100000001,15,N,강진칠량중학교,
중,공립,3,전라남도 강진군,3.0,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,3000000,300000,0,13037000,0,S140000345,234289000,Q100000001,15,N,도암중학교,
,공립,3,전라남도 강진군,,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,6000000,200000,0,0,0,S140000346,233481000,Q100000001,15,N,병영중학교,
중,공립,3,전라남도 강진군,3.0,전라남도강진교육지원청,전라남도교육청,Q100000051,N,복식부기,예산세입,5000000,312000,0,0,0,S140000347,209511000,Q100000001,15,N,성전중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,3000000,800000,0,14535000,0,S140000384,210069000,Q100000001,15,N,고흥과역중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,1000000,510000,0,11067000,0,S140000385,201699000,Q100000001,15,N,고흥남양중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,3000000,440000,0,12683000,0,S140000387,228577000,Q100000001,15,N,고흥도덕중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,2000000,540000,0,14224000,0,S140000388,259684000,Q100000001,15,N,고흥도화중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,2204000,550000,0,11970000,0,S140000391,227889000,Q100000001,15,N,고흥백양중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,6797000,1650000,0,32395000,0,S140000392,493817000,Q100000001,15,N,고흥여자중학교,
중,공립,3,전라남도 고흥군,3.0,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,1000000,500000,0,11920000,0,S140000394,216717000,Q100000001,15,N,고흥점암중앙중학교,
중,공립,3,전라남도 고흥군,3.0,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,6000000,1700000,0,93920000,0,S140000395,469441000,Q100000001,15,N,고흥중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,1000000,700000,0,12826000,0,S140000397,217778000,Q100000001,15,N,고흥풍양중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,6000000,620000,0,16845000,0,S140000399,248739000,Q100000001,15,N,금산중학교,
중,공립,3,전라남도 고흥군,3.0,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,7600000,1200000,0,28640000,0,S140000400,393152000,Q100000001,15,N,녹동중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,0,600000,0,12765000,0,S140000402,217388000,Q100000001,15,N,봉래중학교,
,공립,3,전라남도 고흥군,,전라남도고흥교육지원청,전라남도교육청,Q100000055,N,복식부기,예산세입,1000000,500000,0,14580000,0,S140000405,247575000,Q100000001,15,N,포두중학교,
중,공립,3,전라남도 곡성군,3.0,전라남도곡성교육지원청,전라남도교육청,Q100000060,N,복식부기,예산세입,10000000,1850000,0,48715000,0,S140000499,500457000,Q100000001,15,N,곡성중학교,
,공립,3,전라남도 곡성군,,전라남도곡성교육지원청,전라남도교육청,Q100000060,N,복식부기,예산세입,5000000,3200000,0,13521000,0,S140000502,270551000,Q100000001,15,N,석곡중학교,
중,공립,3,전라남도 곡성군,3.0,전라남도곡성교육지원청,전라남도교육청,Q100000060,N,복식부기,예산세입,3000000,2500000,0,50006000,0,S140000503,444302000,Q100000001,15,N,옥과중학교,
중,공립,3,전라남도 광양시,3.0,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,0,500000,0,10868000,0,S140000542,269345000,Q100000001,15,N,광양골약중학교,
,공립,3,전라남도 광양시,,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,3000000,350000,0,12635000,0,S140000543,228581000,Q100000001,15,N,광양다압중학교,
중,공립,3,전라남도 광양시,3.0,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,0,2100000,0,115420000,0,S140000544,671155000,Q100000001,15,N,희양중학교,
,공립,3,전라남도 광양시,,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,6000000,1800000,0,95190000,0,S140000547,612733000,Q100000001,15,N,광양중동중학교,
중,공립,3,전라남도 광양시,3.0,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,12986000,2000000,0,63300000,0,S140000548,705625000,Q100000001,15,N,광양중학교,
,공립,3,전라남도 광양시,,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,500000,600000,0,11733000,0,S140000551,277247000,Q100000001,15,N,광양진월중학교,
,공립,3,전라남도 광양시,,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,5000000,2226000,0,71448000,0,S140000553,572425000,Q100000001,15,N,광영중학교,
,공립,3,전라남도 광양시,,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,5000000,4600000,0,51040000,0,S140000554,677165000,Q100000001,15,N,동광양중학교,
,공립,3,전라남도 광양시,,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,13000000,530000,0,16010000,0,S140000555,238085000,Q100000001,15,N,옥곡중학교,
,공립,3,전라남도 광양시,,전라남도광양교육지원청,전라남도교육청,Q100000065,N,복식부기,예산세입,3000000,500000,0,9529000,0,S140000556,221109000,Q100000001,15,N,진상중학교,
중,공립,3,전라남도 구례군,3.0,전라남도구례교육지원청,전라남도교육청,Q100000071,N,복식부기,예산세입,6000000,732000,0,11970000,0,S140000635,223338000,Q100000001,15,N,구례동중학교,
중,공립,3,전라남도 구례군,3.0,전라남도구례교육지원청,전라남도교육청,Q100000071,N,복식부기,예산세입,2000000,340000,0,11970000,0,S140000636,227971000,Q100000001,15,N,구례북중학교,
중,공립,3,전라남도 구례군,3.0,전라남도구례교육지원청,전라남도교육청,Q100000071,N,복식부기,예산세입,3000000,400000,0,14252000,0,S140000637,246217000,Q100000001,15,N,구례산동중학교,
,공립,3,전라남도 구례군,,전라남도구례교육지원청,전라남도교육청,Q100000071,N,복식부기,예산세입,7000000,1000000,0,73185000,0,S140000638,428958000,Q100000001,15,N,구례여자중학교,
,공립,3,전라남도 구례군,,전라남도구례교육지원청,전라남도교육청,Q100000071,N,복식부기,예산세입,3000000,1950000,0,53921000,0,S140000639,439086000,Q100000001,15,N,구례중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,6099000,962000,0,11704000,0,S140000672,266275000,Q100000001,15,N,나주공산중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,5000000,2300000,0,107493000,0,S140000674,731351000,Q100000001,15,N,나주금천중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,0,500000,0,17100000,22586000,S140000675,263296000,Q100000001,15,N,나주다시중학교,
중,공립,3,전라남도 나주시,3.0,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,2000000,610000,0,11971000,0,S140000676,222979000,Q100000001,15,N,나주동강중학교,
중,공립,3,전라남도 나주시,3.0,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,100000,600000,0,12996000,0,S140000677,215372000,Q100000001,15,N,나주문평중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,2000000,1630000,0,0,0,S140000678,232337000,Q100000001,15,N,나주반남중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,2000000,520000,0,14535000,0,S140000679,244933000,Q100000001,15,N,나주봉황중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,6000000,5650000,0,48329000,0,S140000682,694859000,Q100000001,15,N,나주중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,10000000,2100000,0,33536000,0,S140000683,616342000,Q100000001,15,N,남평중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,2000000,3500000,0,15265000,0,S140000685,224334000,Q100000001,15,N,노안중학교,
,공립,3,전라남도 나주시,,전라남도나주교육지원청,전라남도교육청,Q100000076,N,복식부기,예산세입,1000000,2000000,0,28238000,0,S140000688,321995000,Q100000001,15,N,영산포여자중학교,
,공립,3,전라남도 담양군,,전라남도담양교육지원청,전라남도교육청,Q100000081,N,복식부기,예산세입,2721000,600000,0,15162000,0,S140000776,255958000,Q100000001,15,N,담양고서중학교,
,공립,3,전라남도 담양군,,전라남도담양교육지원청,전라남도교육청,Q100000081,N,복식부기,예산세입,8365000,1350000,0,12398000,0,S140000777,215782000,Q100000001,15,N,담양금성중학교,
,공립,3,전라남도 담양군,,전라남도담양교육지원청,전라남도교육청,Q100000081,N,복식부기,예산세입,10000000,1600000,0,20041000,0,S140000778,269775000,Q100000001,15,N,담양수북중학교,
,공립,3,전라남도 담양군,,전라남도담양교육지원청,전라남도교육청,Q100000081,N,복식부기,예산세입,1000000,3240000,0,33829000,0,S140000779,450850000,Q100000001,15,N,담양여자중학교,
,공립,3,전라남도 담양군,,전라남도담양교육지원청,전라남도교육청,Q100000081,N,복식부기,예산세입,0,370000,0,57408000,22545000,S140000780,456335000,Q100000001,15,N,담양중학교,
,공립,3,전라남도 담양군,,전라남도담양교육지원청,전라남도교육청,Q100000081,N,복식부기,예산세입,5000000,200000,0,19960000,0,S140000781,280461000,Q100000001,15,N,창평중학교,
중,공립,3,전라남도 담양군,3.0,전라남도담양교육지원청,전라남도교육청,Q100000081,N,복식부기,예산세입,518000,1960000,0,33384000,0,S140000782,316658000,Q100000001,15,N,한재중학교,
중,공립,3,전라남도 목포시,3.0,전라남도목포교육지원청,전라남도교육청,Q100000086,N,복식부기,예산세입,7000000,2070000,0,25839000,0,S140000829,332210000,Q100000001,15,N,목포여자중학교,
,공립,3,전라남도 목포시,,전라남도목포교육지원청,전라남도교육청,Q100000086,N,복식부기,예산세입,0,458000,0,100997000,0,S140000832,593534000,Q100000001,15,N,목포유달중학교,
,공립,3,전라남도 목포시,,전라남도목포교육지원청,전라남도교육청,Q100000086,N,복식부기,예산세입,3000000,5000000,0,55700000,0,S140000835,649542000,Q100000001,15,N,목포제일중학교,
,공립,3,전라남도 목포시,,전라남도목포교육지원청,전라남도교육청,Q100000086,N,복식부기,예산세입,10000000,4740000,0,109723000,0,S140000836,788015000,Q100000001,15,N,목포중앙여자중학교,
중,공립,3,전라남도 목포시,3.0,전라남도목포교육지원청,전라남도교육청,Q100000086,N,복식부기,예산세입,8714000,1560000,0,85381000,0,S140000837,576496000,Q100000001,15,N,목포청호중학교,
,공립,3,전라남도 목포시,,전라남도목포교육지원청,전라남도교육청,Q100000086,N,복식부기,예산세입,1020000,7500000,0,45678000,0,S140000838,409679000,Q100000001,15,N,목포항도여자중학교,
,공립,3,전라남도 무안군,,전라남도무안교육지원청,전라남도교육청,Q100000091,N,복식부기,예산세입,5319000,150000,0,11115000,0,S140000926,240565000,Q100000001,15,N,무안몽탄중학교,
중,공립,3,전라남도 무안군,3.0,전라남도무안교육지원청,전라남도교육청,Q100000091,N,복식부기,예산세입,2000000,2000000,0,43836000,0,S140000927,528857000,Q100000001,15,N,무안북중학교,
중,공립,3,전라남도 무안군,3.0,전라남도무안교육지원청,전라남도교육청,Q100000091,N,복식부기,예산세입,5000000,700000,0,34785000,0,S140000929,304065000,Q100000001,15,N,무안중학교,
,공립,3,전라남도 무안군,,전라남도무안교육지원청,전라남도교육청,Q100000091,N,복식부기,예산세입,10000,40000,0,17557000,0,S140000930,283665000,Q100000001,15,N,무안청계중학교,
,공립,3,전라남도 무안군,,전라남도무안교육지원청,전라남도교육청,Q100000091,N,복식부기,예산세입,3001000,570000,0,16720000,0,S140000931,284625000,Q100000001,15,N,무안현경중학교,
중,공립,3,전라남도 무안군,3.0,전라남도무안교육지원청,전라남도교육청,Q100000091,N,복식부기,예산세입,0,350000,0,0,0,S140000932,636254000,Q100000001,15,N,전남체육중학교,
중,공립,3,전라남도 보성군,3.0,전라남도보성교육지원청,전라남도교육청,Q100000096,N,복식부기,예산세입,2230000,3800000,0,23965000,0,S140000999,308656000,Q100000001,15,N,벌교여자중학교,
,공립,3,전라남도 보성군,,전라남도보성교육지원청,전라남도교육청,Q100000096,N,복식부기,예산세입,9000000,450000,0,19222000,0,S140001000,272571000,Q100000001,15,N,벌교중학교,
,공립,3,전라남도 보성군,,전라남도보성교육지원청,전라남도교육청,Q100000096,N,복식부기,예산세입,5000000,2400000,0,28415000,0,S140001002,709374000,Q100000001,15,N,보성복내중학교,
,공립,3,전라남도 보성군,,전라남도보성교육지원청,전라남도교육청,Q100000096,N,복식부기,예산세입,2000000,800000,0,40542000,0,S140001004,368278000,Q100000001,15,N,보성여자중학교,
,공립,3,전라남도 보성군,,전라남도보성교육지원청,전라남도교육청,Q100000096,N,복식부기,예산세입,0,1500000,0,18915000,0,S140001007,330924000,Q100000001,15,N,보성중학교,
,공립,3,전라남도 보성군,,전라남도보성교육지원청,전라남도교육청,Q100000096,N,복식부기,예산세입,5102000,560000,0,14372000,0,S140001010,227558000,Q100000001,15,N,보성회천중학교,
,공립,3,전라남도 보성군,,전라남도보성교육지원청,전라남도교육청,Q100000096,N,복식부기,예산세입,5000000,3200000,0,11971000,0,S140001014,226183000,Q100000001,15,N,조성중학교,
중,공립,3,전라남도 순천시,3.0,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,33064000,1955000,0,143330000,0,S140001080,943373000,Q100000001,15,N,순천금당중학교,
중,공립,3,전라남도 순천시,3.0,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,5000000,5000000,0,11609000,0,S140001081,229486000,Q100000001,15,N,순천낙안중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,6298000,4590000,0,145483000,0,S140001082,849953000,Q100000001,15,N,순천남산중학교,
중,공립,3,전라남도 순천시,3.0,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,9000000,7350000,0,43049000,0,S140001083,445392000,Q100000001,15,N,순천동산중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,2870000,1000000,0,24847000,0,S140001085,362080000,Q100000001,15,N,순천별량중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,6281000,7000000,0,103320000,0,S140001086,1017579000,Q100000001,15,N,순천삼산중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,3062000,640000,0,13300000,0,S140001087,244482000,Q100000001,15,N,순천승남중학교,
중,공립,3,전라남도 순천시,3.0,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,3000000,350000,0,11362000,0,S140001088,217873000,Q100000001,15,N,순천승주중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,19974000,5500000,0,93915000,0,S140001089,973076000,Q100000001,15,N,순천승평중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,10001000,2700000,0,126401000,0,S140001090,621148000,Q100000001,15,N,순천신흥중학교,
중,공립,3,전라남도 순천시,3.0,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,8611000,1500000,0,32450000,0,S140001091,440300000,Q100000001,15,N,순천세빛중학교,
중,공립,3,전라남도 순천시,3.0,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,12837000,2800000,0,138219000,0,S140001092,951415000,Q100000001,15,N,순천연향중학교,
중,공립,3,전라남도 순천시,3.0,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,3800000,500000,0,15664000,0,S140001094,244445000,Q100000001,15,N,순천월전중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,5000000,1300000,0,30455000,0,S140001095,390305000,Q100000001,15,N,순천이수중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,3270000,700000,0,11486000,0,S140001096,232328000,Q100000001,15,N,순천주암중학교,
,공립,3,전라남도 순천시,,전라남도순천교육지원청,전라남도교육청,Q100000102,N,복식부기,예산세입,11444000,2500000,0,194328000,0,S140001097,806505000,Q100000001,15,N,순천팔마중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,4681000,3000000,0,27128000,0,S140001227,546792000,Q100000001,15,N,비금중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,1001000,1800000,0,12236000,0,S140001228,250826000,Q100000001,15,N,신안신의중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,6000000,250000,0,11140000,0,S140001229,200399000,Q100000001,15,N,신안증도중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,5000000,2340000,0,16512000,0,S140001232,317022000,Q100000001,15,N,신안흑산중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,5000000,3780000,0,11971000,0,S140001233,401880000,Q100000001,15,N,안좌중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,5000000,4200000,0,12541000,0,S140001234,205948000,Q100000001,15,N,암태중학교,
중,공립,3,전라남도 신안군,3.0,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,4000000,1000000,0,20862000,0,S140001235,283459000,Q100000001,15,N,압해중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,0,700000,0,11396000,0,S140001236,294249000,Q100000001,15,N,임자중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,5000000,2450000,0,10998000,0,S140001237,226038000,Q100000001,15,N,자은중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,3000000,1150000,0,8550000,0,S140001238,260494000,Q100000001,15,N,장산중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,0,1000000,0,16423000,0,S140001239,257293000,Q100000001,15,N,지명중학교,
,공립,3,전라남도 신안군,,전라남도신안교육지원청,전라남도교육청,Q100000106,N,복식부기,예산세입,3000000,700000,0,11362000,0,S140001240,220955000,Q100000001,15,N,하의중학교,
중,공립,3,전라남도 여수시,3.0,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,3500000,350000,0,10602000,0,S140001365,230128000,Q100000001,15,N,돌산중앙중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,3000000,1300000,0,89451000,0,S140001367,599122000,Q100000001,15,N,무선중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,7000000,1600000,0,56977000,0,S140001371,730101000,Q100000001,15,N,여선중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,5800000,400000,0,0,0,S140001372,210264000,Q100000001,15,N,여수개도중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,10000000,2000000,0,52895000,0,S140001373,547658000,Q100000001,15,N,여수구봉중학교,
중,공립,3,전라남도 여수시,3.0,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,5000000,10250000,0,65201000,0,S140001374,758486000,Q100000001,15,N,여수문수중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,5000000,1500000,0,96864000,0,S140001375,552491000,Q100000001,15,N,여수아리울중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,7000000,1000000,0,152595000,0,S140001378,576228000,Q100000001,15,N,여수중학교,
중,공립,3,전라남도 여수시,3.0,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,7002000,800000,0,16615000,0,S140001381,254614000,Q100000001,15,N,율촌중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,9000000,1800000,0,68240000,0,S140001382,547700000,Q100000001,15,N,여수진남중학교,
중,공립,3,전라남도 여수시,3.0,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,5000000,1440000,0,65313000,0,S140001384,447352000,Q100000001,15,N,충덕중학교,
,공립,3,전라남도 여수시,,전라남도여수교육지원청,전라남도교육청,Q100000110,N,복식부기,예산세입,5000000,430000,0,50165000,0,S140001385,547987000,Q100000001,15,N,화양중학교,
