SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,경상남도 진주시,3.0,교육부,경상남도교육청,A000000001,N,복식부기,결산세입,120780270,18238740,0,104512270,705674860,S000003605,809368000,A000000001,17,N,경상국립대학교사범대학부설중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,N,미지정,결산세입,29785560,13222999,0,127052610,200000,S160000750,2208333120,S100000001,17,N,거제고현중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,N,복식부기,결산세입,17480430,1919410,0,46316850,3498000,S160000752,1206796150,S100000001,17,N,거제제일중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,N,미지정,결산세입,15158750,19178510,0,205790310,5000000,S160000753,2625426710,S100000001,17,N,거제중앙중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,N,미지정,결산세입,12310280,2766570,0,32223330,100000,S160000756,800657480,S100000001,17,N,성포중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,N,복식부기,결산세입,8876510,35168740,0,15615000,0,S160000757,1111465540,S100000001,17,N,동부중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,N,복식부기,결산세입,13685900,8694370,0,99679320,4338340,S160000759,1791892150,S100000001,17,N,신현중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,N,미지정,결산세입,12984870,6120290,0,29713520,17868580,S160000760,893455410,S100000001,17,N,연초중학교,
중,공립,3,경상남도 거제시,3.0,거제교육지원청,경상남도교육청,S100000106,N,복식부기,결산세입,14114790,14716040,0,133824740,0,S160000761,2020765120,S100000001,17,N,옥포중학교,
,공립,3,경상남도 거제시,,거제교육지원청,경상남도교육청,S100000106,N,복식부기,결산세입,18158730,2904630,0,37897120,16882900,S160000764,871311550,S100000001,17,N,지세포중학교,
