정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,44336000
,교직원보수,0
,기타 교직원 보수,41236000
,교직원 복지 및 역량강화,3100000
학생복지/교육격차 해소,학생복지/교육격차 해소,251391000
,급식 관리,167490000
,기숙사 관리,0
,보건관리,14637000
,교육격차 해소,0
,학생복지,69264000
기본적 교육활동,기본적 교육활동,58042000
,교과 활동,28749000
,창의적 체험활동,29293000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,103490000
,방과후학교 운영,93188000
,직업교육,0
,국제교육,0
,독서활동,9802000
,교기육성,0
,기타 선택적 교육활동,500000
교육활동 지원,교육활동 지원,67193000
,교무업무 운영,51553000
,생활지도 운영,5240000
,연구학교 운영,0
,학습지원실 운영,10400000
,교육여건 개선,0
학교 일반운영,학교 일반운영,157374000
,학교기관운영,37994000
,시설 장비 유지,117380000
,학교운영 협력,2000000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,3000000
,반환금,0
,예비비,3000000
세출합계,세출합계,684826000
