FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE
국립,4,경상북도 구미시,교육부,경상북도교육청,A000000001,N,복식부기,예산세입,837000000,14387000,0,989184000,0,S000003539,7415000000,A000000001,16,특수목적고등학교,N,구미전자공업고등학교,,고,4.0
공립,4,경상북도 문경시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,3260000,0,70167000,0,S150000712,277657000,R100000001,16,일반고등학교,N,가은고등학교,,,
공립,4,경상북도 예천군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,1000000,2980000,0,432744000,0,S150000714,1636923000,R100000001,16,일반고등학교,N,경북일고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,30000000,1300000,0,273104000,12007000,S150000715,805036000,R100000001,16,특수목적고등학교,N,한국국제통상마이스터고등학교,,고,4.0
공립,4,경상북도 영덕군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,1400000,0,14744000,0,S150000716,342105000,R100000001,16,특성화고등학교,N,강구정보고등학교,,고,4.0
공립,4,경상북도 포항시 남구,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,45000000,3600000,0,454093000,0,S150000719,563127000,R100000001,16,특수목적고등학교,N,경북과학고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,7900000,0,655511000,0,S150000720,765421000,R100000001,16,특성화고등학교,N,경북생활과학고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,8500000,0,1250695000,0,S150000721,853573000,R100000001,16,특수목적고등학교,N,경북외국어고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,6000000,0,125100000,0,S150000723,1729294000,R100000001,16,특수목적고등학교,N,경북체육고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,45300000,0,811448000,31200000,S150000724,962689000,R100000001,16,자율고등학교,N,경산고등학교,,고,4.0
공립,4,경상북도 경산시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,12768000,0,94689000,0,S150000729,894872000,R100000001,16,특성화고등학교,N,경북기계금속고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,12744000,0,321489000,0,S150000735,1141670000,R100000001,16,특성화고등학교,N,경주공업고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,1840000,0,179734000,0,S150000736,695111000,R100000001,16,특성화고등학교,N,경주디자인고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,32000000,5090000,0,922411000,1000000,S150000738,884902000,R100000001,16,일반고등학교,N,경주여자고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,30000000,6700000,0,503546000,0,S150000746,634318000,R100000001,16,일반고등학교,N,계림고등학교,,고,4.0
공립,4,경상북도 고령군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,10500000,0,53888000,0,S150000748,493257000,R100000001,16,특성화고등학교,N,한국조리명장고등학교,,고,4.0
공립,4,경상북도 포항시 남구,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,12177000,6050000,0,28020000,0,S150000752,410694000,R100000001,16,특성화고등학교,N,포항과학기술고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,38680000,0,1223933000,0,S150000753,1188527000,R100000001,16,일반고등학교,N,구미고등학교,,,
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,40000000,12420000,0,1102886000,0,S150000756,1385202000,R100000001,16,일반고등학교,N,구미여자고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,23584000,9100000,0,120310000,0,S150000758,674237000,R100000001,16,특성화고등학교,N,구미정보고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,40000000,11700000,0,85917000,0,S150000759,721033000,R100000001,16,특성화고등학교,N,구미여자상업고등학교,,고,4.0
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,2000000,40000,0,21111000,0,S150000765,269892000,R100000001,16,일반고등학교,N,금성고등학교,,,
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,35000000,3500000,0,467258000,0,S150000768,1313748000,R100000001,16,일반고등학교,N,금오고등학교,,,
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,101342000,59600000,0,1281575000,0,S150000769,1803787000,R100000001,16,특수목적고등학교,N,금오공업고등학교,,고,4.0
공립,4,경상북도 청도군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,5000000,1400000,0,30863000,0,S150000771,310911000,R100000001,16,일반고등학교,N,금천고등학교,,고,4.0
공립,4,경상북도 영천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,12656000,700000,0,37010000,31951000,S150000774,371594000,R100000001,16,일반고등학교,N,포은고등학교,,고,4.0
공립,4,경상북도 포항시 북구,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,30000000,2100000,0,113904000,15236000,S150000775,415956000,R100000001,16,특성화고등학교,N,경북세무고등학교,,,
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,21310000,0,177558000,0,S150000778,873819000,R100000001,16,특성화고등학교,N,김천생명과학고등학교,,고,4.0
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,5400000,0,356768000,0,S150000781,1125421000,R100000001,16,일반고등학교,N,김천여자고등학교,,고,4.0
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,650000,0,471112000,0,S150000783,1449735000,R100000001,16,일반고등학교,N,김천중앙고등학교,,고,4.0
공립,4,경상북도 칠곡군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,1200000,0,84603000,0,S150000802,257386000,R100000001,16,일반고등학교,N,동명고등학교,,고,4.0
공립,4,경상북도 문경시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,1200000,0,202040000,0,S150000815,727549000,R100000001,16,특성화고등학교,N,문경공업고등학교,,,
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,2200000,0,315248000,9435000,S150000822,503312000,R100000001,16,특성화고등학교,N,경북소프트웨어마이스터고등학교,,고,4.0
공립,4,경상북도 봉화군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,0,0,297074000,85826000,S150000823,751519000,R100000001,16,자율고등학교,N,봉화고등학교,,고,4.0
공립,4,경상북도 상주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,25000000,3500000,0,313787000,0,S150000840,961167000,R100000001,16,특성화고등학교,N,상산전자고등학교,,고,4.0
공립,4,경상북도 상주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,4370000,0,576115000,0,S150000843,729941000,R100000001,16,자율고등학교,N,상주여자고등학교,,고,4.0
공립,4,경상북도 구미시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,10300000,0,199861000,0,S150000850,1472345000,R100000001,16,일반고등학교,N,선산고등학교,,,
공립,4,경상북도 성주군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,13000000,0,305538000,0,S150000864,749475000,R100000001,16,일반고등학교,N,성주고등학교,,고,4.0
공립,4,경상북도 영양군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,0,0,17632000,24600000,S150000870,255619000,R100000001,16,일반고등학교,N,수비고등학교,,,
공립,4,경상북도 김천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,33000000,0,122387000,0,S150000882,683240000,R100000001,16,특성화고등학교,N,경북과학기술고등학교,,고,4.0
공립,4,경상북도 경주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,18000000,2300000,0,121851000,0,S150000886,601563000,R100000001,16,특성화고등학교,N,안강전자고등학교,,고,4.0
공립,4,경상북도 안동시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,22067000,10000000,0,879088000,0,S150000891,962657000,R100000001,16,자율고등학교,N,안동고등학교,,,
공립,4,경상북도 안동시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,30000000,153925000,0,285115000,0,S150000895,900066000,R100000001,16,특성화고등학교,N,한국생명과학고등학교,,고,4.0
공립,4,경상북도 안동시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,40679000,14230000,0,723126000,9420000,S150000896,962837000,R100000001,16,일반고등학교,N,안동여자고등학교,,,
공립,4,경상북도 칠곡군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,10000000,4300000,0,407711000,0,S150000898,614776000,R100000001,16,일반고등학교,N,약목고등학교,,,
공립,4,경상북도 영덕군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,20000000,13500000,0,314434000,95537000,S150000905,457102000,R100000001,16,일반고등학교,N,영덕고등학교,,,
공립,4,경상북도 영양군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,18620000,1650000,0,144923000,0,S150000908,393233000,R100000001,16,일반고등학교,N,영양고등학교,,고,4.0
공립,4,경상북도 영주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,6930000,0,653799000,500000,S150000916,1087763000,R100000001,16,일반고등학교,N,영주여자고등학교,,고,4.0
공립,4,경상북도 영주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,6000000,0,821068000,0,S150000917,816966000,R100000001,16,자율고등학교,N,영주제일고등학교,,고,4.0
공립,4,경상북도 영천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,3240000,0,208926000,0,S150000919,630558000,R100000001,16,일반고등학교,N,영천고등학교,,,
공립,4,경상북도 영천시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,30000000,5764000,0,181438000,0,S150000921,568447000,R100000001,16,일반고등학교,N,영천여자고등학교,,고,4.0
공립,4,경상북도 영덕군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,19620000,7220000,0,284260000,152347000,S150000924,558444000,R100000001,16,일반고등학교,N,영해고등학교,,고,4.0
공립,4,경상북도 예천군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,0,0,382044000,77000000,S150000929,913499000,R100000001,16,일반고등학교,N,예천여자고등학교,,고,4.0
공립,4,경상북도 울릉군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,2475000,0,56831000,0,S150000937,464684000,R100000001,16,특성화고등학교,N,울릉고등학교,,,
공립,4,경상북도 울진군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,8400000,0,301145000,0,S150000938,1191834000,R100000001,16,자율고등학교,N,울진고등학교,,고,4.0
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,4000000,0,120762000,0,S150000945,595549000,R100000001,16,특성화고등학교,N,의성유니텍고등학교,,고,4.0
공립,4,경상북도 의성군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,1800000,0,177208000,0,S150000946,518976000,R100000001,16,일반고등학교,N,의성여자고등학교,,고,4.0
공립,4,경상북도 문경시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,10000000,0,660864000,0,S150000954,718263000,R100000001,16,자율고등학교,N,점촌고등학교,,고,4.0
공립,4,경상북도 울진군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,990000,0,118635000,25422000,S150000955,632681000,R100000001,16,일반고등학교,N,죽변고등학교,,고,4.0
공립,4,경상북도 상주시,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,230000000,12000000,0,54728000,45063000,S150000957,467711000,R100000001,16,특성화고등학교,N,한국미래농업고등학교,,고,4.0
공립,4,경상북도 청송군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,3770000,0,76598000,0,S150000962,313113000,R100000001,16,일반고등학교,N,진보고등학교,,고,4.0
공립,4,경상북도 청도군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,35000000,9300000,0,318900000,0,S150000965,660931000,R100000001,16,특성화고등학교,N,경북드론고등학교,,고,4.0
공립,4,경상북도 청송군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,650000,0,84790000,0,S150000967,323606000,R100000001,16,일반고등학교,N,청송고등학교,,,
공립,4,경상북도 봉화군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,2000000,0,171574000,0,S150000972,429670000,R100000001,16,특성화고등학교,N,한국산림과학고등학교,,고,4.0
공립,4,경상북도 칠곡군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,3100000,0,198098000,0,S150000974,596471000,R100000001,16,특성화고등학교,N,경북기계명장고등학교,,고,4.0
공립,4,경상북도 울진군,경상북도교육청,경상북도교육청,R100000001,N,복식부기,예산세입,0,5000000,0,509887000,0,S150000978,1221989000,R100000001,16,특수목적고등학교,N,한국원자력마이스터고등학교,,고,4.0
