SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,국립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,A000000001,0,N,0,미지정,결산세출,254308790,95872470,63281920,309717030,268203210,S000003501,46331200,5998350.4,A000000001,13,N,국립공주대학교사범대학부설중학교,
중,공립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,N100000049,2200,N,0,미지정,결산세출,304509270,155649300,184641000,468882710,567282770,S120000279,77865660,3517665.8,N100000001,13,N,공주여자중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,1030210,N,8830000,미지정,결산세출,386141560,267708460,634067220,392665340,401612180,S120000281,47687640,6113550.3,N100000001,13,N,공주중학교,
중,공립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,미지정,결산세출,141401910,43502750,25885540,154886630,146847750,S120000282,2960680,11988029.3,N100000001,13,N,반포중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,미지정,결산세출,264358930,119181860,90602410,373272100,391525260,S120000283,27615390,3660566.3,N100000001,13,N,봉황중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,105516530,117293910,27153010,73466990,135667940,S120000284,27345310,13898391.1,N100000001,13,N,사곡중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,38600,N,69917140,미지정,결산세출,172908420,177836600,107449380,155742380,273398190,S120000286,20482030,11924057.8,N100000001,13,N,우성중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,195951650,215972180,28077230,134272330,238283410,S120000287,29568140,7944574.9,N100000001,13,N,유구중학교,
,공립,3,충청남도 공주시,,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,111828300,98148310,44521900,65555370,132020530,S120000288,6310410,26963812.9,N100000001,13,N,이인중학교,
중,공립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,미지정,결산세출,122404420,91350660,19861540,102037720,162363590,S120000290,3836000,10241916.9,N100000001,13,N,정안중학교,
중,공립,3,충청남도 공주시,3.0,충청남도공주교육지원청,충청남도교육청,N100000049,0,N,0,복식부기,결산세출,111160620,96490640,49692630,90156100,49047690,S120000291,12307760,17035643.3,N100000001,13,N,탄천중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,17320000,미지정,결산세출,238774870,241917400,127302610,264706020,407571630,S120000367,45414400,4865967.1,N100000001,13,N,금산동중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,0,미지정,결산세출,235709620,62299090,122868880,224947470,398883330,S120000368,66565680,3831979.6,N100000001,13,N,금산여자중학교,
중,공립,3,충청남도 금산군,3.0,충청남도금산교육지원청,충청남도교육청,N100000054,2911150,N,0,미지정,결산세출,177938960,114629580,107945350,233804210,337840660,S120000369,21300420,3545801.9,N100000001,13,N,금산중학교,
중,공립,3,충청남도 금산군,3.0,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,0,미지정,결산세출,136453630,154064020,18257860,123299520,70555200,S120000371,7407060,19616818.8,N100000001,13,N,복수중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,0,미지정,결산세출,144946400,101186480,34616850,144381960,102915540,S120000372,1879950,23040312.2,N100000001,13,N,부리중학교,
,공립,3,충청남도 금산군,,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,0,미지정,결산세출,142706390,84436350,49253290,92725420,159751080,S120000373,19674140,16133725.6,N100000001,13,N,제원중학교,
중,공립,3,충청남도 금산군,3.0,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,0,미지정,결산세출,393440680,157499310,100717750,298710700,142934060,S120000374,19227030,23177698.5,N100000001,13,N,진산중학교,
중,공립,3,충청남도 금산군,3.0,충청남도금산교육지원청,충청남도교육청,N100000054,0,N,0,복식부기,결산세출,240830260,140728580,28440550,277158320,206944710,S120000375,13277670,6979846.8,N100000001,13,N,추부중학교,
중,공립,3,충청남도 논산시,3.0,충청남도논산계룡교육지원청,충청남도교육청,N100000058,0,N,0,복식부기,결산세출,154561630,41553430,29966440,74692610,50393050,S120000420,8815530,17999134.5,N100000001,13,N,가야곡중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,0,N,0,미지정,결산세출,187198150,163886330,292420480,135911950,135502030,S120000421,25697000,8873735.3,N100000001,13,N,강경여자중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,0,N,0,미지정,결산세출,172446870,161265930,114965200,232173550,140841970,S120000422,37560610,9141001.4,N100000001,13,N,강경중학교,
